Date,Momentum,Mean Reversion
2000-01-07,0.0,0.0
2000-01-14,0.0,0.0
2000-01-21,0.0,0.0
2000-01-28,0.0,0.0
2000-02-04,0.0,0.0
2000-02-11,0.0,-0.04225517137083297
2000-02-18,0.0,-0.02950324767604965
2000-02-25,0.0,-0.06040990910008207
2000-03-03,0.0,0.04688682206524385
2000-03-10,0.0,-0.36593349420246396
2000-03-17,0.0,0.11629200749888866
2000-03-24,0.0,-0.04193562185618504
2000-03-31,0.0,0.03933897581029977
2000-04-07,0.0,-0.008561792187329291
2000-04-14,-0.14248886084107878,-0.19235074201322994
2000-04-21,-0.01432048855987511,0.05656040314101955
2000-04-28,0.07282550743245027,-0.026643124690664058
2000-05-05,-0.02385642971044007,0.001717941379466086
2000-05-12,-0.06497838491270151,-0.08215062762295729
2000-05-19,0.1455007242256396,-0.17700025383639295
2000-05-26,0.08068358230859499,-0.05177535195371541
2000-06-02,-0.07242680462428974,0.0717902199686888
2000-06-09,-0.0012405003547494645,0.040196788587656775
2000-06-16,0.14419638150940398,-0.09537630070288201
2000-06-23,0.024226561710807993,-0.060112358080914606
2000-06-30,-0.0348551092337082,0.03462225214012179
2000-07-07,-0.0507742169738062,-0.016832287084575036
2000-07-14,-0.03356956404714839,0.16839524129922812
2000-07-21,0.01956851558987319,0.024988436389927243
2000-07-28,0.07731890757014982,0.03413136655903467
2000-08-04,0.03548404307691702,0.039533498067478925
2000-08-11,-0.009287939516760138,0.016524273152773973
2000-08-18,-0.03935370403338294,0.13350426541751687
2000-08-25,-0.04287008006371569,0.06498050696891047
2000-09-01,0.04751739860754507,-0.08637589348003645
2000-09-08,-0.057426557392239265,0.048172541880335776
2000-09-15,-0.03901108669435363,-0.01845613645787995
2000-09-22,-0.038473993051456525,0.05119682613182286
2000-09-29,-0.0689530191231014,-0.16880384072678162
2000-10-06,-0.02842208832055652,-0.0668104557526491
2000-10-13,0.01953136415627828,-0.0678266375084982
2000-10-20,-0.09378269815839137,0.011985234380611682
2000-10-27,-0.12734778662996427,0.043313115712218596
2000-11-03,0.00118240590673527,0.13501393988594904
2000-11-10,-0.07676979435071976,0.11252060611920628
2000-11-17,0.009813169884034982,0.04136411719061207
2000-11-24,-0.025452248802579163,0.012938727107398407
2000-12-01,0.10903706664615359,-0.023784610253923297
2000-12-08,0.002550613342893751,-0.002550613342893751
2000-12-15,0.07610786284912281,-0.020659560795130358
2000-12-22,0.16704138191523737,-0.05977310128137484
2000-12-29,0.02405694474758935,-0.04404297932945377
2001-01-05,-0.06202548468734613,0.06059609646550503
2001-01-12,-0.16465580458633866,0.16162469977493613
2001-01-19,-0.09601625641283731,-0.028159688319930203
2001-01-26,0.04557829805410555,0.011759998754715856
2001-02-02,0.13487175067160112,0.029778842789212757
2001-02-09,0.04767915246561516,0.03891203021751477
2001-02-16,-0.12392590791301661,0.14902142332994575
2001-02-23,0.021277708152784736,0.025069601497721347
2001-03-02,0.06329382296483717,-0.008073260581012763
2001-03-09,-0.05165975060123318,0.0472183344660596
2001-03-16,0.013427216493181494,-0.1224217866405131
2001-03-23,0.1729625389153036,-0.15483643697783284
2001-03-30,-0.028646362297548245,0.05686438732673778
2001-04-06,0.024610150040549676,0.11140018223607362
2001-04-13,-0.17425627561260995,0.17425627561260995
2001-04-20,0.0861600254925062,-0.1053069724746216
2001-04-27,-0.03209296119293766,0.07921425516991963
2001-05-04,-0.017732923922771256,-0.11368904654048094
2001-05-11,-0.09866304516870476,0.09165995665547035
2001-05-18,-0.005712167861895472,-0.0015863999014927126
2001-05-25,0.03243905669741013,0.07328474157208667
2001-06-01,-0.00413331589322415,-0.022204396894608996
2001-06-08,-0.002883570763901694,-0.05293508558983502
2001-06-15,-0.0960565573936047,0.08745597129487603
2001-06-22,-0.021408125425003102,0.013997357124942579
2001-06-29,0.04210996898017146,0.07619737161392233
2001-07-06,-0.02700532920766488,0.07086488292637352
2001-07-13,0.01810758343717045,0.02288389038937777
2001-07-20,-0.022819662715950515,0.061052949806734556
2001-07-27,-0.11498425515441321,0.11989450184301591
2001-08-03,0.026990006095177987,0.037203867538237234
2001-08-10,0.08600523542976071,-0.060966741368539225
2001-08-17,0.02492323662625843,-0.01767525396491676
2001-08-24,0.012859296365938225,-0.007429054093590624
2001-08-31,0.024003701353495575,-0.053304626168932244
2001-09-07,0.050209393443982606,-0.07725617706971362
2001-09-14,0.0014517529769155022,0.012027299846399608
2001-09-21,0.11464028670405263,-0.11464028670405263
2001-09-28,0.080542063091668,-0.080542063091668
2001-10-05,-0.1473698330612944,0.1473698330612944
2001-10-12,-0.06165811505234911,0.10245238107917323
2001-10-19,0.026967414421788252,0.019932685714202515
2001-10-26,-0.029188826856760008,-0.015794997380181492
2001-11-02,0.06217355314892743,0.014867157470556707
2001-11-09,-0.016166818019549403,-0.027578793194705208
2001-11-16,-0.06444556299010015,0.06324534726992923
2001-11-23,-0.0239088429966298,0.030886072286237146
2001-11-30,-0.02328712007552359,-0.1714410683758855
2001-12-07,0.04273533296305017,-0.06988591398024417
2001-12-14,-0.007886060289851355,0.007886060289851355
2001-12-21,-0.06717910338105051,0.07242399635210608
2001-12-28,0.05444530701060393,-0.05796050096697439
2002-01-04,0.03035810463840212,0.03870213471886674
2002-01-11,-0.0728055635110356,0.06173154345807685
2002-01-18,-0.03822191459220392,-0.00241218055310366
2002-01-25,0.1714072964534621,-0.1562400235784292
2002-02-01,0.030065233385558627,-0.019755546203777508
2002-02-08,-0.06585725553730273,-0.013405437881638095
2002-02-15,0.026949567478799064,-0.04264267994610508
2002-02-22,-0.04329661079162742,-0.05272321265579393
2002-03-01,0.03721345646597067,0.08924413281585959
2002-03-08,-0.03869219735289145,0.06658906118352492
2002-03-15,-0.006108871569567731,0.008397020415734938
2002-03-22,0.07143543585065433,-0.03794750953381787
2002-03-29,-0.012887934466399801,-0.011716556842835936
