Portfolio,Annual Return,Annual Volatility,Sharpe Ratio,Maximum Drawdown,Win Rate
Equal Weight,0.001899487484031015,0.1623288346388965,0.011701479211974015,-0.45320456933584974,0.4934017595307918
Inverse Volatility,0.00354452907286662,0.16218178495588595,0.021855284635267428,-0.44672421461668177,0.5029325513196481
