Date,Momentum,Mean Reversion,Risk Managed Portfolio
2000-01-07,0.0,0.0,0.0
2000-01-14,0.0,0.0,0.0
2000-01-21,0.0,0.0,0.0
2000-01-28,0.0,0.0,0.0
2000-02-04,0.0,0.0,0.0
2000-02-11,0.0,-0.04225517137083301,-0.02071312958028504
2000-02-18,0.0,-0.07051175426033507,-0.034875815096263474
2000-02-25,0.0,-0.12666205469506298,-0.06345548679532687
2000-03-03,0.0,-0.08571401385072475,-0.041930391820770185
2000-03-10,0.0,-0.4202818794626746,-0.21378654292839983
2000-03-17,0.0,-0.35286529544190626,-0.1689681587082167
2000-03-24,0.0,-0.38000329170226854,-0.18605125569221614
2000-03-31,0.0,-0.3556132561920786,-0.1703553651609676
2000-04-07,0.0,-0.3611303615808319,-0.17383731608851538
2000-04-14,-0.1424888608410788,-0.48401741058048287,-0.3117492606249135
2000-04-21,-0.15476883929936958,-0.45483322730916775,-0.2976919262409984
2000-04-28,-0.09321445112362736,-0.4693581736111765,-0.28078960379761186
2000-05-05,-0.11484711683283944,-0.4684465620599476,-0.2889311288585549
2000-05-12,-0.17236292158186262,-0.5121140106018636,-0.34112079223475966
2000-05-19,-0.05194112727603106,-0.5984699545685535,-0.34941380340638706
2000-05-26,0.0,-0.6192593139907581,-0.33916490637481334
2000-06-02,-0.07242680462428974,-0.591925856391125,-0.34031002272889377
2000-06-09,-0.07357745950220929,-0.5755225863123901,-0.3277286067009949
2000-06-16,0.0,-0.6160076717618412,-0.309738713067928
2000-06-23,0.0,-0.6390903560972174,-0.3215529956476535
2000-06-30,-0.03485510923370816,-0.6265948514062137,-0.3220943224681667
2000-07-07,-0.08385958532863635,-0.6328801140662028,-0.34523542486397474
2000-07-14,-0.11461401965512774,-0.5710588722886358,-0.30239294466214617
2000-07-21,-0.09728833029569395,-0.5603403042037968,-0.2868884079876559
2000-07-28,-0.027491650143330992,-0.5453341179653429,-0.24684809187559287
2000-08-04,0.0,-0.5273595851965772,-0.21862820397790872
2000-08-11,-0.009287939516760102,-0.5195495458793251,-0.2159988956849911
2000-08-18,-0.048276128727320455,-0.45540736093243195,-0.18042106777982014
2000-08-25,-0.08907660728732969,-0.4200194551542845,-0.17222743352087433
2000-09-01,-0.04579189733486455,-0.4701157929163715,-0.187223333970714
2000-09-08,-0.10058878370670354,-0.44458992375890694,-0.191825898988768
2000-09-15,-0.13567579263939544,-0.454840647916094,-0.21521059681191446
2000-09-22,-0.16892979618759296,-0.426930219353317,-0.2109084690007973
2000-09-29,-0.22623459584370964,-0.5236665993309313,-0.30394161243635887
2000-10-06,-0.24822662450003075,-0.555490650919841,-0.3368232318720752
2000-10-13,-0.23354346494014633,-0.5856402254090394,-0.35226914500307205
2000-10-20,-0.3054238268191911,-0.5806740263926693,-0.37943248153960774
2000-10-27,-0.39387656511967795,-0.5625117119766763,-0.4065458507660097
2000-11-03,-0.39315988119006473,-0.5034446945566884,-0.36691171977961434
2000-11-10,-0.43974687231486975,-0.44757199061649944,-0.35677042564724637
2000-11-17,-0.43424901319483367,-0.42472129369698375,-0.3405101101854937
2000-11-24,-0.44864864807130334,-0.4172779195054318,-0.34488471458412695
2000-12-01,-0.38853091396560724,-0.4311377370763504,-0.31610615662108854
2000-12-08,-0.38697129275600073,-0.43258868475443213,-0.31607193804047673
2000-12-15,-0.3403149879824995,-0.44431115331759274,-0.29646147330150585
2000-12-22,-0.2301202919463261,-0.4775263990312706,-0.2571626342821285
2000-12-29,-0.21159933834738864,-0.5005376930389216,-0.2640896411641056
2001-01-05,-0.2605002715142163,-0.47027222690542436,-0.26550068821646766
2001-01-12,-0.382263194299422,-0.3846551346165681,-0.2689644737319884
2001-01-19,-0.4415759698312157,-0.4019830542350349,-0.3148395390459018
2001-01-26,-0.41612395294360816,-0.3949503756975399,-0.29496930178638825
