Strategy,Annual Return,Annual Volatility,Sharpe Ratio,Maximum Drawdown,Win Rate
Momentum,0.051761114654965246,0.30642414537909296,0.16891983035778374,-0.5415309298872149,0.5183284457478006
Mean Reversion,-0.11210736572216184,0.31868683676233345,-0.3517790909129013,-0.9699265451362965,0.47947214076246336
Combined,0.001899487484031015,0.1623288346388965,0.011701479211974015,-0.45320456933584974,0.4934017595307918
