Date,Combined
2000-01-07,0.0
2000-01-14,0.0
2000-01-21,0.0
2000-01-28,0.0
2000-02-04,0.0
2000-02-11,-0.021127585685416485
2000-02-18,-0.014751623838024825
2000-02-25,-0.030204954550041036
2000-03-03,0.023443411032621923
2000-03-10,-0.18296674710123198
2000-03-17,0.05814600374944433
2000-03-24,-0.02096781092809252
2000-03-31,0.019669487905149885
2000-04-07,-0.004280896093664646
2000-04-14,-0.16741980142715435
2000-04-21,0.02111995729057222
2000-04-28,0.023091191370893105
2000-05-05,-0.011069244165486991
2000-05-12,-0.0735645062678294
2000-05-19,-0.01574976480537668
2000-05-26,0.014454115177439789
2000-06-02,-0.00031829232780047206
2000-06-09,0.019478144116453655
2000-06-16,0.02441004040326098
2000-06-23,-0.017942898185053305
2000-06-30,-0.00011642854679320622
2000-07-07,-0.033803252029190614
2000-07-14,0.06741283862603986
2000-07-21,0.022278475989900216
2000-07-28,0.05572513706459224
2000-08-04,0.03750877057219797
2000-08-11,0.0036181668180069173
2000-08-18,0.04707528069206696
2000-08-25,0.011055213452597391
2000-09-01,-0.01942924743624569
2000-09-08,-0.004627007755951745
2000-09-15,-0.028733611576116792
2000-09-22,0.006361416540183167
2000-09-29,-0.1188784299249415
2000-10-06,-0.04761627203660281
2000-10-13,-0.02414763667610996
2000-10-20,-0.040898731888889844
2000-10-27,-0.04201733545887283
2000-11-03,0.06809817289634215
2000-11-10,0.01787540588424326
2000-11-17,0.025588643537323524
2000-11-24,-0.006256760847590378
2000-12-01,0.04262622819611515
2000-12-08,0.0
2000-12-15,0.027724151026996227
2000-12-22,0.05363414031693127
2000-12-29,-0.009993017290932212
2001-01-05,-0.0007146941109205489
2001-01-12,-0.0015155524057012676
2001-01-19,-0.06208797236638376
2001-01-26,0.028669148404410705
2001-02-02,0.08232529673040694
2001-02-09,0.043295591341564965
2001-02-16,0.012547757708464571
2001-02-23,0.02317365482525304
2001-03-02,0.027610281191912202
2001-03-09,-0.0022207080675867887
2001-03-16,-0.0544972850736658
2001-03-23,0.009063050968735387
2001-03-30,0.014109012514594767
2001-04-06,0.06800516613831165
2001-04-13,0.0
2001-04-20,-0.0095734734910577
2001-04-27,0.023560646988490985
2001-05-04,-0.06571098523162609
2001-05-11,-0.003501544256617209
2001-05-18,-0.0036492838816940924
2001-05-25,0.0528618991347484
2001-06-01,-0.013168856393916573
2001-06-08,-0.027909328176868357
2001-06-15,-0.004300293049364336
2001-06-22,-0.0037053841500302616
2001-06-29,0.05915367029704689
2001-07-06,0.021929776859354322
2001-07-13,0.02049573691327411
2001-07-20,0.01911664354539202
2001-07-27,0.002455123344301348
2001-08-03,0.03209693681670761
2001-08-10,0.012519247030610744
2001-08-17,0.0036239913306708345
2001-08-24,0.0027151211361738006
2001-08-31,-0.014650462407718334
2001-09-07,-0.013523391812865507
2001-09-14,0.006739526411657555
2001-09-21,0.0
2001-09-28,0.0
2001-10-05,0.0
2001-10-12,0.02039713301341206
2001-10-19,0.023450050067995384
2001-10-26,-0.02249191211847075
2001-11-02,0.03852035530974207
2001-11-09,-0.021872805607127305
2001-11-16,-0.0006001078600854637
2001-11-23,0.0034886146448036733
2001-11-30,-0.09736409422570454
2001-12-07,-0.013575290508597002
2001-12-14,0.0
2001-12-21,0.002622446485527785
2001-12-28,-0.0017575969781852274
2002-01-04,0.03453011967863443
2002-01-11,-0.00553701002647938
2002-01-18,-0.02031704757265379
2002-01-25,0.0075836364375164445
2002-02-01,0.00515484359089056
2002-02-08,-0.03963134670947041
2002-02-15,-0.007846556233653008
2002-02-22,-0.04800991172371068
2002-03-01,0.06322879464091513
2002-03-08,0.013948431915316736
2002-03-15,0.0011440744230836034
2002-03-22,0.01674396315841823
2002-03-29,-0.012302245654617868
2002-04-05,-0.009698476803551953
2002-04-12,-0.004782763482017817
2002-04-19,-0.0018924392899947184
2002-04-26,0.07924821461662368
2002-05-03,-0.006180877984630314
2002-05-10,0.0
2002-05-17,0.0
2002-05-24,0.036483272708004735
2002-05-31,0.01578902979921809
2002-06-07,-0.022077006820786893
2002-06-14,0.01770866712433159
2002-06-21,0.027395755050862246
2002-06-28,-0.02328635551992014
2002-07-05,-0.013926728158623149
2002-07-12,0.033337731087740886
2002-07-19,0.016682942082586846
2002-07-26,0.043590927165388385
2002-08-02,0.05847954531200437
2002-08-09,0.006783908253566895
2002-08-16,0.003377243317865042
2002-08-23,0.0022222222222222365
2002-08-30,-0.006279699331537582
2002-09-06,0.06255924512842642
2002-09-13,-0.022829824072687684
2002-09-20,0.028621936575103722
2002-09-27,-0.004164273787022145
2002-10-04,0.009124874274451099
2002-10-11,0.01151001412781516
2002-10-18,0.0058189452472528665
2002-10-25,-0.02432198703655484
2002-11-01,-0.11933588527454927
2002-11-08,0.023528202169023786
2002-11-15,-0.008872241168962569
2002-11-22,-0.04366722374793048
2002-11-29,-0.008150695496754807
2002-12-06,-0.010692530728449647
2002-12-13,-0.014166412539779889
2002-12-20,-0.007525607832042256
2002-12-27,-0.043805234047647
2003-01-03,-0.00685735593325606
2003-01-10,0.01676371954632211
2003-01-17,-0.002195906979811592
2003-01-24,0.03796926902246463
2003-01-31,0.0007690400027590702
2003-02-07,-0.0034195026406326906
2003-02-14,-0.01029892213272509
2003-02-21,0.0025637339173854804
2003-02-28,0.0018534282057778477
2003-03-07,0.007110058821516222
2003-03-14,-0.007742117117117121
2003-03-21,-0.02815714598380388
2003-03-28,0.013246903134660334
2003-04-04,-0.023137965305016883
2003-04-11,0.0029529855837642956
2003-04-18,-0.003630099132120295
2003-04-25,0.06210216499084214
2003-05-02,0.02789827509230769
2003-05-09,0.0
2003-05-16,0.0003046435289906224
2003-05-23,-0.005572063552369945
2003-05-30,0.01051051051051051
2003-06-06,0.017754760410127673
2003-06-13,-0.002630590003757982
2003-06-20,0.030903717980892878
2003-06-27,0.003273088225957954
2003-07-04,0.009735978316313048
2003-07-11,0.021963848411428472
2003-07-18,-0.02372717935819241
2003-07-25,0.03165717055769008
2003-08-01,-0.0017179339973652855
2003-08-08,-0.06455701662394087
2003-08-15,0.01089497594319146
2003-08-22,0.02079962939524669
2003-08-29,0.01090955683401458
2003-09-05,0.01049060682338554
2003-09-12,-0.02489726219993893
2003-09-19,0.01679643373943892
2003-09-26,0.047003693129786306
2003-10-03,0.001755844605268897
2003-10-10,0.030257595084226943
2003-10-17,-0.007370170983151774
2003-10-24,-0.015761403543185094
2003-10-31,-0.017579521904262724
2003-11-07,-0.07511097297130812
2003-11-14,-0.03174707066698684
2003-11-21,-0.025781967236725063
2003-11-28,0.038221143470177396
2003-12-05,-0.013070154978489585
2003-12-12,-0.020569196998411938
