,0
Transaction Cost (bps),10.0
Average Turnover,0.2677541544477006
Maximum Turnover,1.2
Total Turnover,365.2166666666667
Average Cost,0.0002677541544477075
Total Cost,0.36521666666666674
Gross Return,-0.3726035334711233
Net Return,-0.5661245834354643
