,0
CAGR,-0.010398102957239086
Annual Return,-0.010398102957239086
Annual Volatility,0.27191532599320223
Sharpe Ratio,-0.0382402239346341
Sortino Ratio,-0.056197135850924465
Calmar Ratio,-0.016125392552051403
Maximum Drawdown,-0.6448278963550741
Win Rate,0.5072595281306715
Best Week,0.1488481778063921
Worst Week,-0.1727782381280593
Skewness,-0.08331938099444011
Kurtosis,1.6865360103897182
