Date,Equal Weight,Inverse Volatility
2000-01-07,0.0,0.0
2000-01-14,0.0,0.0
2000-01-21,0.0,0.0
2000-01-28,0.0,0.0
2000-02-04,0.0,0.0
2000-02-11,-0.021127585685416485,-0.020713129580285032
2000-02-18,-0.014751623838024825,-0.01446224384679884
2000-02-25,-0.030204954550041036,-0.029612429308166207
2000-03-03,0.023443411032621923,0.022983525791958434
2000-03-10,-0.18296674710123198,-0.17937752084030187
2000-03-17,0.05814600374944433,0.05700536389585291
2000-03-24,-0.02096781092809252,-0.020556489096067554
2000-03-31,0.019669487905149885,0.019283635045836873
2000-04-07,-0.004280896093664646,-0.004196918513458811
2000-04-14,-0.16741980142715435,-0.16693073558279237
2000-04-21,0.02111995729057222,0.020424728343450382
2000-04-28,0.023091191370893105,0.02406682063744378
2000-05-05,-0.011069244165486991,-0.011320088118765222
2000-05-12,-0.0735645062678294,-0.07339607384644352
2000-05-19,-0.01574976480537668,-0.01258654253145318
2000-05-26,0.014454115177439789,0.015753326900010488
2000-06-02,-0.00031829232780047206,-0.0017328322377654429
2000-06-09,0.019478144116453655,0.019071710138667663
2000-06-16,0.02441004040326098,0.02675986783371216
2000-06-23,-0.017942898185053305,-0.017115667361609077
2000-06-30,-0.00011642854679320622,-0.0007978910910365865
2000-07-07,-0.033803252029190614,-0.034136168441694995
2000-07-14,0.06741283862603986,0.06543188472425851
2000-07-21,0.022278475989900216,0.02222531517686747
2000-07-28,0.05572513706459224,0.056148738234744554
2000-08-04,0.03750877057219797,0.03746905185165216
2000-08-11,0.0036181668180069173,0.0033649900166645794
2000-08-18,0.04707528069206696,0.045379818611678786
2000-08-25,0.011055213452597391,0.009997370523849101
2000-09-01,-0.01942924743624569,-0.018115966942011286
2000-09-08,-0.004627007755951745,-0.005662767166458145
2000-09-15,-0.028733611576116792,-0.02893522298460962
2000-09-22,0.006361416540183167,0.005481888253893886
2000-09-29,-0.1188784299249415,-0.1178990519867277
2000-10-06,-0.04761627203660281,-0.04723974313535588
2000-10-13,-0.02414763667610996,-0.02329079345556532
2000-10-20,-0.040898731888889844,-0.04193614728553356
2000-10-27,-0.04201733545887283,-0.04369124780115677
2000-11-03,0.06809817289634215,0.0667854981510427
2000-11-10,0.01787540588424326,0.01601876775990492
2000-11-17,0.025588643537323524,0.025279178865671104
2000-11-24,-0.006256760847590378,-0.006633315333861557
2000-12-01,0.04262622819611515,0.04392899784771409
2000-12-08,0.0,5.003493004511819e-05
2000-12-15,0.027724151026996227,0.02867328572947398
2000-12-22,0.05363414031693127,0.05585883008254793
2000-12-29,-0.009993017290932212,-0.009325065218391309
2001-01-05,-0.0007146941109205489,-0.00191741702697883
2001-01-12,-0.0015155524057012676,-0.004715845828513948
2001-01-19,-0.06208797236638376,-0.06275353750331243
2001-01-26,0.028669148404410705,0.029000852197226687
2001-02-02,0.08232529673040694,0.08335609120750466
2001-02-09,0.043295591341564965,0.04338158288348229
2001-02-16,0.012547757708464571,0.009870577989556428
2001-02-23,0.02317365482525304,0.023136462375291728
2001-03-02,0.027610281191912202,0.028310278908675
2001-03-09,-0.0022207080675867887,-0.003190545005655243
2001-03-16,-0.0544972850736658,-0.053164822160886194
2001-03-23,0.009063050968735387,0.012278238185051485
2001-03-30,0.014109012514594767,0.013270287902046742
2001-04-06,0.06800516613831165,0.06715389379599145
2001-04-13,0.0,-0.0034183544850070885
2001-04-20,-0.0095734734910577,-0.007695486402986333
2001-04-27,0.023560646988490985,0.022468900017169585
2001-05-04,-0.06571098523162609,-0.06476980810339644
2001-05-11,-0.003501544256617209,-0.005368310559863622
2001-05-18,-0.0036492838816940924,-0.0036897511112442475
2001-05-25,0.0528618991347484,0.0524612678530523
2001-06-01,-0.013168856393916573,-0.012991607796777554
2001-06-08,-0.027909328176868357,-0.02741840232761232
2001-06-15,-0.004300293049364336,-0.0061002594301787574
2001-06-22,-0.0037053841500302616,-0.004052655689155504
2001-06-29,0.05915367029704689,0.05881932702801489
2001-07-06,0.021929776859354322,0.02096982555366724
2001-07-13,0.02049573691327411,0.020448888929652142
2001-07-20,0.01911664354539202,0.018293986455487375
2001-07-27,0.002455123344301348,0.00015133586349927453
2001-08-03,0.03209693681670761,0.03199675506155883
2001-08-10,0.012519247030610744,0.013960808645228629
2001-08-17,0.0036239913306708345,0.004041814851961388
2001-08-24,0.0027151211361738006,0.0029141176243717482
2001-08-31,-0.014650462407718334,-0.013892190525728322
2001-09-07,-0.013523391812865507,-0.01227315705627591
2001-09-14,0.006739526411657555,0.006635797097044315
2001-09-21,0.0,0.0022488781929925414
2001-09-28,0.0,0.001579979381707862
2001-10-05,0.0,-0.002890927905057142
2001-10-12,0.02039713301341206,0.01878746975016448
2001-10-19,0.023450050067995384,0.02351904958133814
2001-10-26,-0.02249191211847075,-0.02262328430837244
2001-11-02,0.03852035530974207,0.03898435590102114
2001-11-09,-0.021872805607127305,-0.021760872259574567
2001-11-16,-0.0006001078600854637,-0.0018525528416147921
2001-11-23,0.0034886146448036733,0.002951163572369478
2001-11-30,-0.09736409422570454,-0.095910939348316
2001-12-07,-0.013575290508597002,-0.012470654984733428
2001-12-14,0.0,-0.00015469944750098278
2001-12-21,0.002622446485527785,0.0012531618488165613
2001-12-28,-0.0017575969781852274,-0.0006550745683317864
2002-01-04,0.03453011967863443,0.03444827799876288
2002-01-11,-0.00553701002647938,-0.006856605321945642
2002-01-18,-0.02031704757265379,-0.02066828417669897
2002-01-25,0.0075836364375164445,0.010797336150752249
2002-02-01,0.00515484359089056,0.005643506294018575
2002-02-08,-0.03963134670947041,-0.04014581571639621
2002-02-15,-0.007846556233653008,-0.007163966839755079
2002-02-22,-0.04800991172371068,-0.047917451734400485
2002-03-01,0.06322879464091513,0.06271845636117937
2002-03-08,0.013948431915316736,0.01291579001751439
2002-03-15,0.0011440744230836034,0.0010017946665793866
