Strategy,CAGR,Annual Return,Annual Volatility,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Maximum Drawdown,Win Rate,Best Week,Worst Week,Skewness,Kurtosis
Momentum,0.051761114654965246,0.051761114654965246,0.30642414537909296,0.16891983035778374,0.25179321364762947,0.09558293312211286,-0.5415309298872149,0.5183284457478006,0.2004750525582879,-0.17425627561260995,0.16235168591061813,2.3433420623533543
Mean Reversion,-0.11210736572216184,-0.11210736572216184,0.31868683676233345,-0.3517790909129013,-0.4817338589455019,-0.11558335657924305,-0.9699265451362965,0.47947214076246336,0.18837983261576538,-0.36593349420246396,-0.45533101836036693,5.126295096921246
Risk Managed Portfolio,0.00354452907286662,0.00354452907286662,0.16218178495588595,0.021855284635267428,0.027629030991663247,0.007934490580296962,-0.44672421461668177,0.5029325513196481,0.09339286134915539,-0.17937752084030187,-0.688463565395066,7.730949399059438
