,Weight,Annual Volatility,Marginal Risk Contribution,Component Risk Contribution,Risk Contribution %
Momentum,0.5098084114129882,0.30642414537909296,0.15906150362092067,0.08109089247794284,0.49999999999999956
Mean Reversion,0.49019158858701173,0.31868683676233345,0.16542693584704155,0.08109089247794297,0.5000000000000004
