Date,Strategy Return
2005-01-07,0.00243551615515125
2005-01-14,-0.0018253922106446314
2005-01-21,-0.023202678929523324
2005-01-28,0.03094390326645046
2005-02-04,0.08850182842162924
2005-02-11,-0.010653928825035536
2005-02-18,0.09234116700333533
2005-02-25,0.03196909708425866
2005-03-04,-0.03732699477710325
2005-03-11,-0.03849491193970511
2005-03-18,0.016135828617021047
2005-03-25,0.009459264476978865
2005-04-01,-0.030775726789357805
2005-04-08,-0.0005039544872236248
2005-04-15,-0.03216688905027654
2005-04-22,-0.011217815591860119
2005-04-29,0.01834914142255132
2005-05-06,-0.026142463361854884
2005-05-13,0.02340769231524842
2005-05-20,-0.0031701708310045715
2005-05-27,-0.012149946615039249
2005-06-03,0.05043162179923703
2005-06-10,0.0012413019782109656
2005-06-17,-0.02018639550544221
2005-06-24,0.034140306261959255
2005-07-01,-0.018195984049804936
2005-07-08,-0.0065656631520111235
2005-07-15,0.008697349828236852
2005-07-22,0.028157630931587588
2005-07-29,0.02321840991005775
2005-08-05,-0.01701737410459477
2005-08-12,-0.002468861090925513
2005-08-19,-0.03014351279199471
2005-08-26,0.005221768151776958
2005-09-02,-0.0185185463156039
2005-09-09,0.04956097218656033
2005-09-16,-0.009007979483093434
2005-09-23,0.00861224823005102
2005-09-30,-0.011664381844069852
2005-10-07,-0.028820472399189497
2005-10-14,-0.026292988950875618
2005-10-21,0.048264206306701134
2005-10-28,0.0013079493579211485
2005-11-04,0.04292791633992343
2005-11-11,0.0032914107681851785
2005-11-18,0.006058831255927245
2005-11-25,0.03656305099624882
2005-12-02,0.01692472691434447
2005-12-09,0.021203644497674423
2005-12-16,0.003098018147660529
2005-12-23,0.02788692435682812
2005-12-30,-0.015834048547486896
2006-01-06,0.024721673929940593
2006-01-13,0.04683260995551919
2006-01-20,-0.05615871667748914
2006-01-27,0.022827170644858286
2006-02-03,0.015123745385992296
2006-02-10,-0.04632333692000512
2006-02-17,0.025893063575096242
2006-02-24,0.011950485804500383
2006-03-03,0.027396826561588997
2006-03-10,-0.08410592601340754
2006-03-17,0.004197110831296997
2006-03-24,0.013258373048714764
2006-03-31,0.04851143674270089
2006-04-07,0.04126757661777598
2006-04-14,-0.02946339909861754
2006-04-21,0.01477358142799064
2006-04-28,0.02846527353008998
2006-05-05,0.044273245220736494
2006-05-12,-0.06174790907367041
2006-05-19,-0.0476750751088106
2006-05-26,-0.0366307959142463
2006-06-02,0.017113233006480634
2006-06-09,-0.021744223816920316
2006-06-16,-0.018758208171038272
2006-06-23,-0.047038595754334556
2006-06-30,0.01032986702772017
2006-07-07,0.011185420243238358
2006-07-14,0.06701309144619215
2006-07-21,-0.0683291392991474
2006-07-28,-0.027218824125999727
2006-08-04,0.020447396241453825
2006-08-11,0.0330446178201798
2006-08-18,-0.06637213253575594
2006-08-25,-0.0027369331769733574
2006-09-01,-0.029373245160488004
2006-09-08,-0.003552532231602937
2006-09-15,-0.01972791091366806
2006-09-22,0.02699852232058375
2006-09-29,-0.01706418145525342
2006-10-06,-0.034540095428953116
2006-10-13,-0.03844948027671202
2006-10-20,-0.02239757737163409
2006-10-27,-0.0681810116823431
2006-11-03,0.009049117127188366
2006-11-10,-0.041610787054635716
2006-11-17,0.02272282542216105
2006-11-24,0.04946908854869661
2006-12-01,-0.02591592611964747
2006-12-08,-0.03106701467136245
2006-12-15,-0.00040536421562076264
2006-12-22,-0.02240030076028406
2006-12-29,0.014463684887809393
2007-01-05,-0.049997312082938075
2007-01-12,0.07483555239799795
2007-01-19,-0.06186891288677577
2007-01-26,-0.010486076433181965
2007-02-02,-0.0038117000625682187
2007-02-09,0.013726649130722152
2007-02-16,0.018516477039999184
2007-02-23,0.03047988494369128
2007-03-02,-0.018082470395899934
