,Weight,Annual Volatility,Marginal Risk Contribution,Component Risk Contribution,Risk Contribution %
Momentum,0.5,0.30642414537909296,0.15052325636420644,0.07526162818210322,0.46363684153541895
Mean Reversion,0.5,0.31868683676233345,0.17413441291358628,0.08706720645679314,0.536363158464581
